epoch,global_step,hs_pos_raw,hs_margin_raw,hs_pos_raw_cf,hs_margin_raw_cf,lphi_real,lphi_cf,lphi_bound_real,vartheta,vartheta_cf
1,19,1.0,35104.973259853155,0.0,-1404.0877923847113,236987330929.78827,9478742842.90663,86058782.7452365,0.2039626288652442,0.08158482313156129
1,20,1.0,34365.22500393585,0.0,-1374.4983756725906,227109022460.07147,9083629558.669724,84246212.36468932,0.20396067543029792,0.08158402442932129
1,21,1.0,35028.12361815617,0.0,-1401.013599948282,235959903444.6629,9437646636.216343,85872143.79776096,0.20395868002846837,0.08158322572708131
1,22,1.0,35208.31719307221,0.0,-1408.2208533843175,238398475191.5441,9535182269.159184,86314732.73687972,0.20395668331517372,0.08158242702484131
1,23,1.0,34524.69114393889,0.0,-1380.8759339509563,229234994695.76602,9168658743.768063,84639649.81003866,0.20395470099639568,0.08158162832260132
1,24,1.0,34423.89777483464,0.0,-1376.8433377140302,227902949367.95804,9115372360.939772,84393385.5137189,0.2039527046919464,0.08158082962036134
1,25,1.0,33354.25245858489,0.0,-1334.0591384862607,213964057399.4958,8557850634.639988,81771853.31557795,0.2039507079504449,0.08158003091812134
1,26,1.0,33329.868051966034,0.0,-1333.0827245913952,213655305853.53857,8545494978.153388,81712942.2201549,0.2039487545017852,0.08157923221588136
1,27,1.0,33988.33133784793,0.0,-1359.4204912197015,222184970590.6436,8886662630.322166,83328070.28726853,0.20394675909952711,0.08157843351364136
1,28,1.0,35019.9735395196,0.0,-1400.6851671307427,235882128010.2979,9434520203.592728,85858152.41712663,0.20394476238621906,0.08157763481140137
1,29,1.0,35412.88365678497,0.0,-1416.4007603682394,241209550508.5597,9647601865.570974,86822297.0839625,0.20394276563194072,0.08157683610916139
1,30,1.0,35541.20192724357,0.0,-1421.5342423553104,242965469110.34534,9717839439.403269,87137773.31295818,0.20394078331188195,0.08157603740692139
1,31,1.0,36402.771977889926,0.0,-1455.9956705595062,254892844871.27057,10194907362.753334,89250994.47471824,0.20393878700739265,0.0815752387046814
1,32,1.0,37230.0284092685,0.0,-1489.0837031281392,266614425165.58838,10663736548.727581,91280180.71495436,0.20393681913688969,0.0815744400024414
1,33,1.0,37132.59094346219,0.0,-1485.1860023017846,265225892716.1142,10608196172.535435,91042173.49688667,0.203934823283949,0.08157364130020142
1,34,1.0,38579.27157870333,0.0,-1543.0519205487699,286300398951.87244,11451134070.313719,94590087.54064116,0.20393282655655712,0.08157284259796144
1,35,1.0,37913.22427839162,0.0,-1516.4115992480936,276505548801.61224,11059366549.288967,92957961.10594021,0.20393082980183863,0.08157204389572144
1,36,1.0,37303.66867737228,0.0,-1492.0300273687028,267691189890.8263,10706809310.836407,91464304.03123835,0.20392883304626622,0.08157124519348145
1,37,1.0,37008.49189023538,0.0,-1480.221704115189,263476565013.9206,10538221974.037373,90741515.73446119,0.20392686516166691,0.08157044649124146
1,38,1.0,35610.35500302162,0.0,-1424.296359952289,243949607394.58344,9757178079.93522,87314318.36572796,0.20392489817928552,0.08156964778900147
1,39,1.0,35251.02387652303,0.0,-1409.9234862014441,239055947550.01743,9561440977.78403,86434108.95249268,0.20392290235409863,0.08156884908676149
1,40,1.0,36253.308414152496,0.0,-1450.0143942390928,252848082506.38052,10113101718.234678,88892556.86743827,0.20392092006307397,0.08156805038452149
1,41,1.0,37293.791654924236,0.0,-1491.6320595944048,267575187266.25507,10702147780.38849,91444730.83241668,0.20391893819499188,0.0815672516822815
1,42,1.0,36422.29450382851,0.0,-1456.772750748871,255220581547.22797,10207991997.460133,89308707.11465262,0.20391695634012674,0.0815664529800415
1,43,1.0,37393.95671116187,0.0,-1495.6377966320463,269024793406.3534,10760125684.295828,91692178.78541046,0.20391497448567464,0.08156565427780152
